Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

25.044	 1.248
24.924	 1.115
24.805	 1.345
24.686	 1.750
24.569	 1.634
24.454	 1.382
24.339	 1.250
24.225	 1.294
24.112	 1.344
24.001	 1.283
23.890	 1.144
23.781	 1.049
23.672	 1.164
23.564	 1.176
23.458	 1.100
23.352	 1.081
23.247	 1.178
23.144	 1.233
23.041	 1.169
22.939	 1.135
22.838	 1.088
22.738	 1.052
22.638	 1.161
22.540	 1.172
22.442	 1.108
22.345	 1.000
22.250	 1.030
22.154	 1.018
22.060	 1.003
21.967	 1.045
21.874	 0.984
21.782	 0.972
21.691	 0.994
21.601	 1.026
21.511	 1.015
21.422	 0.955
21.334	 0.992
21.247	 1.000
21.160	 0.950
21.074	 0.964
20.988	 1.016
20.904	 1.086
20.820	 1.135
20.737	 1.145
20.654	 1.208
20.572	 1.309
20.491	 1.345
20.410	 1.297
20.330	 1.338
20.251	 1.388
20.172	 1.432
20.094	 1.459
20.016	 1.424
19.939	 1.407
19.863	 1.469
19.787	 1.518
19.712	 1.498
19.637	 1.481
19.563	 1.480
19.489	 1.500
19.416	 1.516
19.344	 1.502
19.272	 1.479
19.201	 1.449
19.130	 1.434
19.059	 1.373
18.990	 1.310
18.920	 1.291
18.851	 1.289
18.783	 1.264
18.715	 1.264
18.648	 1.290
18.581	 1.279
18.515	 1.304
18.449	 1.353
18.384	 1.321
18.319	 1.236
18.254	 1.262
18.190	 1.280
18.126	 1.260
18.063	 1.236
18.001	 1.246
17.938	 1.227
17.876	 1.197
17.815	 1.196
17.754	 1.197
17.693	 1.189
17.633	 1.192
17.573	 1.181
17.514	 1.137
17.455	 1.145
17.396	 1.160
17.338	 1.128
17.280	 1.105
17.223	 1.109
17.166	 1.121
17.109	 1.115
17.053	 1.085
16.997	 1.050
16.942	 1.050
16.886	 1.067
16.832	 1.073
16.777	 1.060
16.723	 1.045
16.669	 1.062
16.616	 1.055
16.563	 1.054
16.510	 1.049
16.458	 1.039
16.406	 1.036
16.354	 1.018
16.302	 1.011
16.251	 1.002
16.200	 0.968
16.150	 0.959
16.100	 0.979
