Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

14.983	 2.590
14.940	 2.417
14.897	 2.542
14.854	 2.805
14.812	 2.925
14.770	 2.816
14.728	 2.950
14.686	 3.346
14.645	 3.281
14.603	 3.027
14.562	 3.179
14.521	 3.445
14.481	 3.567
14.441	 3.421
14.400	 3.150
14.361	 2.813
14.321	 2.505
14.281	 2.242
14.242	 2.220
14.203	 2.332
14.164	 2.474
14.126	 2.647
14.087	 2.725
14.049	 2.809
14.011	 2.874
13.973	 2.893
13.936	 2.907
13.899	 2.975
13.861	 3.026
13.824	 3.056
13.788	 3.111
13.751	 3.172
13.715	 3.160
13.678	 3.245
13.643	 3.357
13.607	 3.436
13.571	 3.499
13.536	 3.523
13.500	 3.545
13.465	 3.629
13.430	 3.695
13.396	 3.774
13.361	 3.832
13.327	 3.923
13.293	 4.002
13.259	 4.082
13.225	 4.153
13.191	 4.224
13.158	 4.395
13.124	 4.624
13.091	 4.807
13.058	 5.017
13.025	 5.263
12.993	 5.577
12.960	 6.022
12.928	 6.656
12.896	 7.418
12.864	 8.155
12.832	 8.754
12.800	 9.030
12.769	 8.850
12.738	 8.247
12.706	 7.344
12.675	 6.393
12.644	 5.829
12.614	 5.877
12.583	 6.362
12.552	 7.012
12.522	 7.462
12.492	 7.582
12.462	 7.347
12.432	 6.596
12.402	 5.257
12.373	 3.512
12.343	 2.109
12.314	 1.392
12.285	 1.142
12.256	 1.141
12.227	 1.252
12.198	 1.380
12.169	 1.508
12.141	 1.635
12.113	 1.778
12.084	 1.858
12.056	 1.937
12.028	 2.061
12.000	 2.195
11.973	 2.243
11.945	 2.317
11.918	 2.410
11.890	 2.461
11.863	 2.531
11.836	 2.598
11.809	 2.667
11.782	 2.721
11.755	 2.759
11.729	 2.799
11.702	 2.871
11.676	 2.925
11.650	 2.981
11.624	 3.050
11.598	 3.084
11.572	 3.122
11.546	 3.199
11.520	 3.257
11.495	 3.260
11.469	 3.286
11.444	 3.356
11.419	 3.444
11.394	 3.495
11.369	 3.518
11.344	 3.560
11.319	 3.624
11.294	 3.672
11.270	 3.727
11.245	 3.764
11.221	 3.807
11.197	 3.895
11.173	 3.951
11.149	 3.976
11.125	 4.031
11.101	 4.112
11.077	 4.191
11.054	 4.249
11.030	 4.301
11.007	 4.354
10.983	 4.449
10.960	 4.497
10.937	 4.527
10.914	 4.576
10.891	 4.619
10.868	 4.614
10.845	 4.573
10.823	 4.605
10.800	 4.644
10.778	 4.604
10.755	 4.625
10.733	 4.720
10.711	 4.762
10.689	 4.783
10.667	 4.858
10.645	 4.914
10.623	 4.949
10.601	 4.965
10.580	 4.984
10.558	 4.999
10.537	 5.038
10.515	 5.102
10.494	 5.156
10.473	 5.202
10.452	 5.252
10.431	 5.299
10.410	 5.353
10.389	 5.428
10.368	 5.507
10.348	 5.566
10.327	 5.652
10.306	 5.750
10.286	 5.821
10.266	 5.908
10.245	 6.001
10.225	 6.117
10.205	 6.241
10.185	 6.350
10.165	 6.438
10.145	 6.546
10.125	 6.666
10.106	 6.801
10.086	 6.931
10.066	 7.064
10.047	 7.189
10.027	 7.321
10.008	 7.509
 9.989	 7.710
 9.970	 7.863
 9.950	 8.042
 9.931	 8.213
 9.912	 8.366
 9.893	 8.467
 9.875	 8.555
 9.856	 8.719
 9.837	 8.883
 9.819	 8.997
 9.800	 9.135
 9.781	 9.330
 9.763	 9.552
 9.745	 9.833
 9.726	10.181
 9.708	10.534
 9.690	10.853
 9.672	11.216
 9.654	11.565
 9.636	11.882
 9.618	12.171
 9.600	12.456
 9.582	12.776
 9.565	13.155
 9.547	13.630
 9.530	14.158
 9.512	14.713
 9.495	15.361
 9.477	16.160
 9.460	17.089
 9.443	18.196
 9.426	19.557
 9.409	21.177
 9.392	23.134
 9.375	25.208
 9.358	27.163
 9.341	28.922
 9.324	30.394
 9.307	31.486
 9.291	32.150
 9.274	32.526
 9.257	32.770
 9.241	32.927
 9.225	33.033
 9.208	33.106
 9.192	33.118
 9.175	33.117
 9.159	33.143
 9.143	33.129
 9.127	33.056
 9.111	33.018
 9.095	32.943
 9.079	32.828
 9.063	32.734
 9.047	32.580
 9.032	32.342
 9.016	32.139
 9.000	31.988
