Name (REQ),Description (REQ),Affiliation (REQ),Measurement Type (Lab; Field; Remote) (REQ),Instrument (REQ),Illumination Geometry (REQ),Observation Geometry w/ FOV and Distance (REQ),Calibration (eg: type of reflectance; spectralon; gold)  (REQ),Location (lat; lon; Datum)  (REQ),Collection Date,Kingdom,Family,Genus,species,Scale (eg: leaf; canopy; mixed),Material Age,Height (eg: canopy height; water depth),Chemistry (eg: nitrogen; lignin; pigments),Biophysical Properties (eg: specific leaf area; thickness),Sample No.,Additional Information,Reference Document,Point of Contact,Acknowledgement,Column names (eg: wavelength; reflectance; fwhm) (REQ),Column units (eg: nanometers; percent; nanometers) (REQ)
Aloe bainesii,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12722; - 118.11108; WGS84,2/2/2016,,,Aloe,bainesii,leaf,,,,,JPL057,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Aloe bainesii,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12733; - 118.111; WGS84,2/2/2016,,,Aloe,bainesii,leaf,,,,,JPL058,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Aloe bainesii,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12725; - 118.11075; WGS84,2/2/2016,,,Aloe,bainesii,leaf,,,,,JPL059,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Agave attenuata,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12717; - 118.11108; WGS84,2/2/2016,,,Agave,attenuata,leaf,,,,,JPL060,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Agave attenuata,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12717; - 118.11108; WGS84,2/2/2016,,,Agave,attenuata,leaf,,,,,JPL061,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Agave attenuata,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12717; - 118.11108; WGS84,2/2/2016,,,Agave,attenuata,leaf,,,,,JPL062,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Agave attenuata #7,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12717; - 118.11092; WGS84,2/2/2016,,,Agave,attenuata #7,leaf,,,,,JPL063,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Portulacaria afra,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12645; - 118.11028; WGS84,2/2/2016,,,Portulacaria,afra,leaf,,,,,JPL064,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Portulacaria afra 'Low Form',Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.1269; - 118.11013; WGS84,2/2/2016,,,Portulacaria,afra 'Low Form',leaf,,,,,JPL065,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Portulacaria afra 'Variegata',Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12675; - 118.10997; WGS84,2/2/2016,,,Portulacaria,afra 'Variegata',leaf,,,,,JPL066,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
Caesalpinia cacalaco,Samples were collected at the Huntington Garden in San Marino; CA as part of a JPL Subcontract studying HyTES imagery. Samples were taken to JPL and processed within 48 hours of collection. The same leaves were processed in the Nicolet and then measured using the ASD.,University of California Santa Barbara,Lab,ASD FieldSpec 3; NicoletModel 4700 Interferometer ,calibrated quartz halogen at a 23° zenith angle and 23 cm from target; EverGlo infrared light source,27° view zenith at a distance of 5 cm from the target; Labsphere gold coated integrating sphere (model RSA N1 700D),spectralon; gold,34.12622; - 118.10958; WGS84,2/2/2016,,,Caesalpinia,cacalaco,leaf,,,,,JPL067,ASD measures from 0.35 - 2.5 micrometers; Nicolet measures 2.5 - 15.3869 micrometers,,Susan Meerdink; susan.meerdink@gmail.com,JPL Subcontract - Plant species mapping; water; and LMA using HyTES,wavelength; reflectance,micrometers; percent
