Name:  ALHA 77005
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77005
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample (USNM sample No. ALHA 77005.38).
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.achondrite.shergottite.fine.a77005.ancillary.txt

25.044	 1.879
24.924	 1.791
24.805	 1.869
24.686	 1.725
24.569	 1.797
24.454	 1.866
24.339	 1.853
24.225	 1.924
24.112	 1.922
24.001	 1.690
23.890	 1.528
23.781	 1.519
23.672	 1.500
23.564	 1.487
23.458	 1.510
23.352	 1.380
23.247	 1.405
23.144	 1.369
23.041	 1.219
22.939	 1.127
22.838	 1.132
22.738	 1.121
22.638	 1.076
22.540	 1.020
22.442	 0.993
22.345	 0.997
22.250	 0.989
22.154	 1.008
22.060	 1.086
21.967	 1.019
21.874	 1.026
21.782	 1.066
21.691	 1.086
21.601	 1.062
21.511	 1.134
21.422	 1.193
21.334	 1.194
21.247	 1.159
21.160	 1.106
21.074	 1.085
20.988	 1.158
20.904	 1.232
20.820	 1.284
20.737	 1.330
20.654	 1.343
20.572	 1.414
20.491	 1.504
20.410	 1.523
20.330	 1.544
20.251	 1.621
20.172	 1.647
20.094	 1.573
20.016	 1.570
19.939	 1.634
19.863	 1.625
19.787	 1.622
19.712	 1.653
19.637	 1.674
19.563	 1.667
19.489	 1.650
19.416	 1.672
19.344	 1.737
19.272	 1.748
19.201	 1.735
19.130	 1.716
19.059	 1.732
18.990	 1.735
18.920	 1.658
18.851	 1.626
18.783	 1.641
18.715	 1.668
18.648	 1.692
18.581	 1.658
18.515	 1.625
18.449	 1.633
18.384	 1.575
18.319	 1.456
18.254	 1.435
18.190	 1.466
18.126	 1.451
18.063	 1.416
18.001	 1.373
17.938	 1.320
17.876	 1.268
17.815	 1.262
17.754	 1.234
17.693	 1.184
17.633	 1.185
17.573	 1.161
17.514	 1.144
17.455	 1.135
17.396	 1.086
17.338	 1.048
17.280	 1.035
17.223	 1.029
17.166	 1.022
17.109	 1.020
17.053	 1.030
16.997	 1.006
16.942	 0.993
16.886	 1.016
16.832	 1.041
16.777	 1.050
16.723	 1.050
16.669	 1.022
16.616	 1.026
16.563	 1.050
16.510	 1.066
16.458	 1.067
16.406	 1.052
16.354	 1.064
16.302	 1.093
16.251	 1.092
16.200	 1.065
16.150	 1.046
16.100	 1.039
16.050	 1.053
16.000	 1.022
15.951	 0.991
15.902	 0.975
15.854	 0.959
15.805	 0.956
15.757	 0.928
15.710	 0.895
15.662	 0.866
15.615	 0.842
15.568	 0.806
15.521	 0.775
15.475	 0.781
15.429	 0.814
15.383	 0.830
15.338	 0.800
15.292	 0.777
15.248	 0.824
15.203	 0.876
15.158	 0.845
15.114	 0.833
15.070	 0.865
15.027	 0.869
14.983	 0.889
14.940	 0.914
14.897	 0.931
14.854	 0.966
14.812	 0.981
14.770	 0.990
14.728	 1.008
