Name:  Reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2376
Owner:  JHU
Wavelength range:  All
Origin:  Howard Co. Tx. via USDA Soil Conservation service.
Collection Date: N/A
Description:  The parent  material is eolian from level or undulating plains.  Reddish brown fine sandy loam (fine-loamy, mixed thermic aridic).
Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2376a.txt

14.011	 1.827
13.973	 1.818
13.936	 1.811
13.899	 1.822
13.861	 1.863
13.824	 1.915
13.788	 1.964
13.751	 2.003
13.715	 2.038
13.678	 2.067
13.643	 2.086
13.607	 2.101
13.571	 2.117
13.536	 2.132
13.500	 2.147
13.465	 2.166
13.430	 2.197
13.396	 2.233
13.361	 2.269
13.327	 2.308
13.293	 2.352
13.259	 2.394
13.225	 2.436
13.191	 2.483
13.158	 2.541
13.124	 2.602
13.091	 2.670
13.058	 2.753
13.025	 2.860
12.993	 2.994
12.960	 3.164
12.928	 3.368
12.896	 3.584
12.864	 3.768
12.832	 3.873
12.800	 3.863
12.769	 3.728
12.738	 3.501
12.706	 3.249
12.675	 3.047
12.644	 2.949
12.614	 2.967
12.583	 3.069
12.552	 3.187
12.522	 3.245
12.492	 3.182
12.462	 2.976
12.432	 2.645
12.402	 2.241
12.373	 1.834
12.343	 1.492
12.314	 1.259
12.285	 1.148
12.256	 1.138
12.227	 1.196
12.198	 1.286
12.169	 1.381
12.141	 1.465
12.113	 1.531
12.084	 1.583
12.056	 1.627
12.028	 1.669
12.000	 1.713
11.973	 1.763
11.945	 1.819
11.918	 1.872
11.890	 1.917
11.863	 1.952
11.836	 1.981
11.809	 2.007
11.782	 2.037
11.755	 2.072
11.729	 2.115
11.702	 2.160
11.676	 2.205
11.650	 2.244
11.624	 2.275
11.598	 2.297
11.572	 2.314
11.546	 2.324
11.520	 2.335
11.495	 2.349
11.469	 2.367
11.444	 2.388
11.419	 2.408
11.394	 2.429
11.369	 2.449
11.344	 2.469
11.319	 2.493
11.294	 2.521
11.270	 2.552
11.245	 2.582
11.221	 2.610
11.197	 2.636
11.173	 2.664
11.149	 2.698
11.125	 2.739
11.101	 2.783
11.077	 2.829
11.054	 2.871
11.030	 2.902
11.007	 2.917
10.983	 2.924
10.960	 2.925
10.937	 2.922
10.914	 2.913
10.891	 2.906
10.868	 2.901
10.845	 2.894
10.823	 2.887
10.800	 2.884
10.778	 2.886
10.755	 2.892
10.733	 2.898
10.711	 2.907
10.689	 2.919
10.667	 2.935
10.645	 2.954
10.623	 2.975
10.601	 2.998
10.580	 3.023
10.558	 3.054
10.537	 3.089
10.515	 3.131
10.494	 3.181
10.473	 3.236
10.452	 3.295
10.431	 3.359
10.410	 3.431
10.389	 3.508
10.368	 3.588
10.348	 3.667
10.327	 3.747
10.306	 3.825
10.286	 3.904
10.266	 3.987
10.245	 4.080
10.225	 4.184
10.205	 4.293
10.185	 4.405
10.165	 4.519
10.145	 4.639
10.125	 4.763
10.106	 4.892
10.086	 5.024
10.066	 5.161
10.047	 5.301
10.027	 5.442
10.008	 5.581
 9.989	 5.718
 9.970	 5.848
 9.950	 5.964
 9.931	 6.064
 9.912	 6.151
 9.893	 6.233
 9.875	 6.316
 9.856	 6.403
 9.837	 6.497
 9.819	 6.606
 9.800	 6.731
 9.781	 6.869
 9.763	 7.018
 9.745	 7.178
 9.726	 7.345
 9.708	 7.512
 9.690	 7.677
 9.672	 7.846
 9.654	 8.017
 9.636	 8.183
 9.618	 8.345
 9.600	 8.506
 9.582	 8.668
 9.565	 8.836
 9.547	 9.013
 9.530	 9.207
 9.512	 9.415
 9.495	 9.640
 9.477	 9.891
 9.460	10.175
 9.443	10.503
 9.426	10.876
 9.409	11.284
 9.392	11.704
 9.375	12.110
 9.358	12.474
 9.341	12.773
 9.324	12.993
 9.307	13.133
 9.291	13.197
 9.274	13.199
 9.257	13.155
 9.241	13.084
 9.225	13.000
 9.208	12.913
 9.192	12.832
 9.175	12.757
 9.159	12.689
 9.143	12.627
 9.127	12.568
 9.111	12.507
 9.095	12.442
 9.079	12.374
 9.063	12.300
 9.047	12.221
 9.032	12.147
 9.016	12.086
 9.000	12.046
 8.985	12.037
 8.969	12.068
 8.954	12.136
 8.938	12.227
 8.923	12.334
 8.908	12.450
 8.892	12.565
 8.877	12.670
 8.862	12.761
 8.847	12.833
 8.832	12.882
 8.817	12.905
 8.802	12.906
 8.787	12.893
 8.772	12.863
 8.757	12.826
 8.742	12.780
 8.727	12.704
 8.713	12.550
 8.698	12.268
 8.684	11.842
 8.669	11.314
 8.655	10.788
 8.640	10.419
 8.626	10.343
 8.612	10.611
 8.597	11.163
 8.583	11.863
 8.569	12.560
 8.555	13.143
 8.541	13.563
 8.527	13.844
 8.513	14.038
 8.499	14.196
 8.485	14.344
 8.471	14.498
 8.457	14.656
 8.443	14.813
 8.430	14.967
 8.416	15.120
 8.402	15.270
 8.389	15.417
 8.375	15.563
 8.361	15.719
 8.348	15.880
 8.335	16.048
 8.321	16.226
 8.308	16.419
 8.295	16.621
 8.281	16.823
 8.268	17.018
 8.255	17.200
 8.242	17.349
 8.229	17.449
 8.216	17.482
 8.203	17.429
 8.190	17.261
 8.177	16.953
 8.164	16.501
 8.151	15.912
 8.138	15.209
 8.126	14.427
 8.113	13.605
 8.100	12.782
 8.088	11.978
 8.075	11.209
 8.062	10.485
 8.050	 9.809
 8.037	 9.180
 8.025	 8.595
 8.013	 8.046
 8.000	 7.527
 7.988	 7.028
 7.976	 6.542
 7.963	 6.067
 7.951	 5.607
 7.939	 5.168
 7.927	 4.758
 7.915	 4.382
 7.903	 4.047
 7.891	 3.749
 7.879	 3.482
 7.867	 3.245
 7.855	 3.035
 7.843	 2.852
 7.831	 2.692
 7.819	 2.556
 7.808	 2.445
 7.796	 2.352
 7.784	 2.271
 7.772	 2.199
 7.761	 2.128
 7.749	 2.052
 7.737	 1.968
 7.726	 1.879
 7.715	 1.793
 7.703	 1.713
 7.692	 1.643
 7.680	 1.584
 7.669	 1.531
 7.657	 1.477
 7.646	 1.419
 7.635	 1.360
 7.624	 1.306
 7.613	 1.258
 7.601	 1.220
 7.590	 1.191
 7.579	 1.167
 7.568	 1.143
 7.557	 1.118
 7.546	 1.091
 7.535	 1.063
 7.524	 1.036
 7.513	 1.010
 7.502	 0.984
 7.492	 0.960
 7.481	 0.942
 7.470	 0.929
 7.459	 0.918
 7.449	 0.909
 7.438	 0.900
 7.427	 0.891
 7.417	 0.878
 7.406	 0.868
 7.395	 0.863
 7.385	 0.859
 7.374	 0.853
 7.364	 0.848
 7.353	 0.843
 7.343	 0.838
 7.333	 0.835
 7.322	 0.838
 7.312	 0.843
 7.302	 0.849
 7.291	 0.853
 7.281	 0.858
 7.271	 0.864
 7.261	 0.869
 7.251	 0.874
 7.240	 0.877
 7.230	 0.876
 7.220	 0.874
 7.210	 0.872
 7.200	 0.869
 7.190	 0.866
 7.180	 0.866
 7.170	 0.867
 7.160	 0.873
 7.151	 0.884
 7.141	 0.901
 7.131	 0.919
 7.121	 0.930
 7.111	 0.935
 7.102	 0.934
 7.092	 0.927
 7.082	 0.917
 7.072	 0.909
 7.063	 0.903
 7.053	 0.897
 7.044	 0.893
 7.034	 0.894
 7.025	 0.900
 7.015	 0.912
 7.006	 0.925
 6.996	 0.940
 6.987	 0.951
 6.977	 0.959
 6.968	 0.967
 6.959	 0.975
 6.949	 0.986
 6.940	 0.997
 6.931	 1.006
 6.921	 1.013
 6.912	 1.016
 6.903	 1.013
 6.894	 1.008
 6.885	 1.000
 6.875	 0.991
 6.866	 0.984
 6.857	 0.981
 6.848	 0.983
 6.839	 0.987
 6.830	 0.990
 6.821	 0.991
 6.812	 0.990
 6.803	 0.990
 6.794	 0.992
 6.785	 0.998
 6.777	 1.011
 6.768	 1.026
 6.759	 1.038
 6.750	 1.044
 6.741	 1.043
 6.733	 1.036
 6.724	 1.025
 6.715	 1.015
 6.707	 1.011
 6.698	 1.014
 6.689	 1.020
 6.681	 1.029
 6.672	 1.038
 6.663	 1.045
 6.655	 1.052
 6.646	 1.057
 6.638	 1.062
 6.629	 1.067
 6.621	 1.068
 6.612	 1.063
 6.604	 1.054
 6.596	 1.044
 6.587	 1.036
 6.579	 1.034
 6.571	 1.039
 6.562	 1.050
 6.554	 1.061
 6.546	 1.073
 6.537	 1.081
 6.529	 1.085
 6.521	 1.087
 6.513	 1.093
 6.505	 1.105
 6.496	 1.124
 6.488	 1.152
 6.480	 1.190
 6.472	 1.229
 6.464	 1.260
 6.456	 1.278
 6.448	 1.280
 6.440	 1.270
 6.432	 1.253
 6.424	 1.237
 6.416	 1.227
 6.408	 1.227
 6.400	 1.232
 6.392	 1.235
 6.384	 1.229
 6.377	 1.214
 6.369	 1.193
 6.361	 1.170
 6.353	 1.148
 6.345	 1.132
 6.338	 1.121
 6.330	 1.111
 6.322	 1.100
 6.314	 1.087
 6.307	 1.076
 6.299	 1.067
 6.291	 1.060
 6.284	 1.050
 6.276	 1.040
 6.269	 1.029
 6.261	 1.017
 6.253	 1.005
 6.246	 0.998
 6.239	 1.000
 6.231	 1.007
 6.223	 1.009
 6.216	 1.005
 6.209	 0.996
 6.201	 0.981
 6.194	 0.962
 6.186	 0.947
 6.179	 0.942
 6.172	 0.946
 6.164	 0.953
 6.157	 0.961
 6.150	 0.968
 6.142	 0.971
 6.135	 0.970
 6.128	 0.968
 6.121	 0.966
 6.113	 0.968
 6.106	 0.972
 6.099	 0.980
 6.092	 0.986
 6.085	 0.986
 6.078	 0.981
 6.070	 0.972
 6.063	 0.967
 6.056	 0.967
 6.049	 0.977
 6.042	 0.998
 6.035	 1.024
 6.028	 1.046
 6.021	 1.059
 6.014	 1.066
 6.007	 1.066
 6.000	 1.062
 5.993	 1.053
 5.986	 1.047
 5.979	 1.044
 5.973	 1.042
 5.966	 1.039
 5.959	 1.040
 5.952	 1.044
 5.945	 1.052
 5.938	 1.065
 5.931	 1.085
 5.925	 1.112
 5.918	 1.140
 5.911	 1.165
 5.904	 1.187
 5.898	 1.205
 5.891	 1.226
 5.884	 1.253
 5.878	 1.289
 5.871	 1.337
 5.864	 1.390
 5.858	 1.444
 5.851	 1.490
 5.845	 1.527
 5.838	 1.557
 5.831	 1.584
 5.825	 1.613
 5.818	 1.654
 5.812	 1.708
 5.805	 1.766
 5.799	 1.818
 5.792	 1.860
 5.786	 1.891
 5.779	 1.912
 5.773	 1.930
 5.767	 1.956
 5.760	 1.998
 5.754	 2.050
 5.747	 2.102
 5.741	 2.150
 5.735	 2.188
 5.728	 2.210
 5.722	 2.221
 5.716	 2.229
 5.709	 2.238
 5.703	 2.245
