Name: Aragonite CaCO3
Type:  Mineral  
Class:  Carbonates
Subclass:   
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  aragonite.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Horenec, Bilina, Cechy, Czechoslovakia, via Smithsonian (sample no. NMNH B10083). 
Collection Date: N/A
Description: The sample was composed of two transparent, colorless pieces: one prismatic, 1.8 cm x 1.8 cm x 2 cm, and weighing about 2 g; the other a 5 mm x 5 mm x 5 mm cleavage fragment weighing 0.65 g.  No impurities were detected in hand sample or microscopically.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: aragon1a.txt

24.924	 1.888
24.805	 1.539
24.686	 1.149
24.569	 0.904
24.454	 0.864
24.339	 0.928
24.225	 0.922
24.112	 0.788
24.001	 0.806
23.890	 0.814
23.781	 0.815
23.672	 0.858
23.564	 0.829
23.458	 0.850
23.352	 1.010
23.247	 1.058
23.144	 1.104
23.041	 1.103
22.939	 1.208
22.838	 1.240
22.738	 1.255
22.638	 1.295
22.540	 1.332
22.442	 1.347
22.345	 1.400
22.250	 1.446
22.154	 1.529
22.060	 1.525
21.967	 1.490
21.874	 1.575
21.782	 1.615
21.691	 1.696
21.601	 1.766
21.511	 1.775
21.422	 1.806
21.334	 1.887
21.247	 1.968
21.160	 2.050
21.074	 2.080
20.988	 2.151
20.904	 2.205
20.820	 2.218
20.737	 2.239
20.654	 2.277
20.572	 2.387
20.491	 2.503
20.410	 2.533
20.330	 2.489
20.251	 2.552
20.172	 2.583
20.094	 2.658
20.016	 2.733
19.939	 2.751
19.863	 2.823
19.787	 2.914
19.712	 2.962
19.637	 2.998
19.563	 3.061
19.489	 3.112
19.416	 3.098
19.344	 3.115
19.272	 3.240
19.201	 3.303
19.130	 3.358
19.059	 3.419
18.990	 3.435
18.920	 3.453
18.851	 3.528
18.783	 3.604
18.715	 3.644
18.648	 3.659
18.581	 3.778
18.515	 3.856
18.449	 3.859
18.384	 3.917
18.319	 4.048
18.254	 4.105
18.190	 4.214
18.126	 4.328
18.063	 4.423
18.001	 4.518
17.938	 4.606
17.876	 4.679
17.815	 4.765
17.754	 4.922
17.693	 5.040
17.633	 5.129
17.573	 5.255
17.514	 5.368
17.455	 5.456
17.396	 5.543
17.338	 5.626
17.280	 5.740
17.223	 5.831
17.166	 5.918
17.109	 6.048
17.053	 6.135
16.997	 6.210
16.942	 6.324
16.886	 6.440
16.832	 6.518
16.777	 6.594
16.723	 6.726
16.669	 6.877
16.616	 6.912
16.563	 6.928
16.510	 7.006
16.458	 7.070
16.406	 7.127
16.354	 7.231
16.302	 7.321
16.251	 7.390
16.200	 7.458
16.150	 7.527
16.100	 7.631
16.050	 7.717
16.000	 7.811
15.951	 7.902
15.902	 7.953
15.854	 8.003
15.805	 8.067
15.757	 8.139
15.710	 8.191
15.662	 8.274
15.615	 8.344
15.568	 8.380
15.521	 8.425
15.475	 8.521
15.429	 8.592
15.383	 8.625
15.338	 8.656
15.292	 8.699
15.248	 8.719
15.203	 8.743
15.158	 8.768
15.114	 8.786
15.070	 8.793
15.027	 8.795
14.983	 8.803
14.940	 8.801
14.897	 8.713
14.854	 8.635
14.812	 8.595
14.770	 8.521
14.728	 8.368
14.686	 8.204
14.645	 8.004
14.603	 7.708
14.562	 7.263
14.521	 6.535
14.481	 5.904
14.441	 5.584
14.400	 4.952
14.361	 4.170
14.321	 3.689
14.281	 3.352
14.242	 3.104
14.203	 3.326
14.164	 3.690
14.126	 3.984
14.087	 4.411
14.049	 5.292
14.011	 5.255
13.973	 3.518
13.936	 2.428
13.899	 2.819
13.861	 4.009
13.824	 5.093
13.788	 5.830
13.751	 6.396
13.715	 6.882
13.679	 7.250
13.643	 7.544
13.607	 7.783
13.571	 8.021
13.536	 8.224
13.500	 8.385
13.465	 8.511
13.430	 8.655
13.396	 8.761
13.361	 8.882
13.327	 9.022
13.293	 9.107
13.259	 9.140
13.225	 9.144
13.191	 9.170
13.158	 9.195
13.124	 9.200
13.091	 9.248
13.058	 9.273
13.026	 9.274
12.993	 9.318
12.960	 9.334
12.928	 9.319
12.896	 9.309
12.864	 9.261
12.832	 9.199
12.800	 9.147
12.769	 9.110
12.737	 9.067
12.706	 8.974
12.675	 8.873
12.644	 8.787
12.614	 8.698
12.583	 8.642
12.552	 8.560
12.522	 8.441
12.492	 8.312
12.462	 8.184
12.432	 8.060
12.402	 7.924
12.373	 7.787
12.343	 7.675
12.314	 7.552
12.285	 7.430
12.256	 7.287
12.227	 7.117
12.198	 6.947
12.169	 6.750
12.141	 6.500
12.113	 6.254
12.084	 6.029
12.056	 5.793
12.028	 5.567
12.000	 5.413
11.973	 5.277
11.945	 5.138
11.918	 5.050
11.890	 4.997
11.863	 4.849
11.836	 4.745
11.809	 4.934
11.782	 5.189
11.755	 5.439
11.729	 5.828
11.702	 6.193
11.676	 6.378
11.650	 6.504
11.624	 6.694
11.598	 6.910
11.572	 7.173
11.546	 7.572
11.520	 8.165
11.495	 8.909
11.469	 9.652
11.444	10.231
11.419	10.347
11.394	 9.811
11.369	 9.011
11.344	 8.265
11.319	 7.623
11.294	 7.053
11.270	 6.495
11.245	 5.987
11.221	 5.548
11.197	 5.170
11.173	 4.930
11.149	 4.799
11.125	 4.753
11.101	 4.741
11.077	 4.676
11.054	 4.476
11.030	 3.971
11.007	 3.376
10.983	 3.784
10.960	 4.777
10.937	 5.284
10.914	 5.482
10.891	 5.553
10.868	 5.546
10.846	 5.530
10.823	 5.536
10.800	 5.544
10.778	 5.590
10.755	 5.658
10.733	 5.712
10.711	 5.793
10.689	 5.886
10.667	 5.955
10.645	 5.983
10.623	 5.987
10.602	 5.986
10.580	 5.999
10.558	 6.042
10.537	 6.105
10.516	 6.156
10.494	 6.181
10.473	 6.215
10.452	 6.218
10.431	 6.210
10.410	 6.215
10.389	 6.240
10.368	 6.309
10.348	 6.390
10.327	 6.451
10.306	 6.458
10.286	 6.411
10.266	 6.365
10.245	 6.339
10.225	 6.311
10.205	 6.310
10.185	 6.354
10.165	 6.380
10.145	 6.421
10.125	 6.504
10.106	 6.593
10.086	 6.675
10.066	 6.757
10.047	 6.836
10.027	 6.903
10.008	 6.948
 9.989	 6.969
 9.970	 6.992
 9.950	 7.028
 9.931	 7.057
 9.912	 7.072
 9.893	 7.080
 9.875	 7.073
 9.856	 7.055
 9.837	 7.050
 9.818	 7.058
 9.800	 7.063
 9.781	 7.046
 9.763	 7.026
 9.745	 7.015
 9.726	 7.000
 9.708	 6.977
 9.690	 6.939
 9.672	 6.919
 9.654	 6.902
 9.636	 6.879
 9.618	 6.846
 9.600	 6.800
 9.583	 6.753
 9.565	 6.713
 9.547	 6.633
 9.530	 6.541
 9.512	 6.462
 9.495	 6.364
 9.477	 6.231
 9.460	 5.940
 9.443	 5.525
 9.426	 5.611
 9.409	 5.881
 9.392	 5.872
 9.375	 5.735
 9.358	 5.540
 9.341	 5.422
 9.324	 5.274
 9.307	 4.987
 9.291	 4.569
 9.274	 4.010
 9.257	 3.402
 9.241	 2.975
 9.224	 2.753
 9.208	 3.095
 9.192	 3.859
 9.175	 4.488
 9.159	 4.882
 9.143	 5.104
 9.127	 5.241
 9.111	 5.311
 9.095	 5.326
 9.079	 5.330
 9.063	 5.345
 9.047	 5.359
 9.032	 5.385
 9.016	 5.435
 9.000	 5.508
 8.985	 5.567
 8.969	 5.595
 8.954	 5.598
 8.938	 5.597
 8.923	 5.558
 8.907	 5.492
 8.892	 5.401
 8.877	 5.322
 8.862	 5.245
 8.847	 5.150
 8.832	 5.060
 8.817	 4.995
 8.802	 4.929
 8.787	 4.850
 8.772	 4.779
 8.757	 4.711
 8.742	 4.639
 8.728	 4.569
 8.713	 4.523
 8.698	 4.472
 8.684	 4.394
 8.669	 4.322
 8.655	 4.255
 8.640	 4.175
 8.626	 4.104
 8.612	 4.034
 8.597	 3.946
 8.583	 3.867
 8.569	 3.795
 8.555	 3.718
 8.541	 3.662
 8.527	 3.622
 8.513	 3.595
 8.499	 3.586
 8.485	 3.583
 8.471	 3.586
 8.457	 3.594
 8.443	 3.592
 8.430	 3.623
 8.416	 3.660
 8.402	 3.678
 8.389	 3.701
 8.375	 3.722
 8.362	 3.738
 8.348	 3.758
 8.335	 3.794
 8.321	 3.837
 8.308	 3.875
 8.295	 3.906
 8.281	 3.923
 8.268	 3.924
 8.255	 3.930
 8.242	 3.931
 8.229	 3.905
 8.216	 3.887
 8.203	 3.875
 8.190	 3.849
 8.177	 3.836
 8.164	 3.833
 8.151	 3.816
 8.138	 3.796
 8.126	 3.779
 8.113	 3.747
 8.100	 3.709
 8.088	 3.689
 8.075	 3.679
 8.062	 3.655
 8.050	 3.635
 8.037	 3.632
 8.025	 3.623
 8.013	 3.598
 8.000	 3.591
 7.988	 3.617
 7.976	 3.653
 7.963	 3.682
 7.951	 3.695
 7.939	 3.699
 7.927	 3.683
 7.915	 3.660
 7.903	 3.633
 7.891	 3.605
 7.879	 3.584
 7.867	 3.574
 7.855	 3.558
 7.843	 3.542
 7.831	 3.535
 7.819	 3.524
 7.807	 3.517
 7.796	 3.519
 7.784	 3.530
 7.772	 3.560
 7.761	 3.589
 7.749	 3.606
 7.738	 3.619
 7.726	 3.633
 7.715	 3.649
 7.703	 3.654
 7.692	 3.658
 7.680	 3.667
 7.669	 3.672
 7.658	 3.677
 7.646	 3.685
 7.635	 3.697
 7.624	 3.725
 7.613	 3.755
 7.601	 3.780
 7.590	 3.794
 7.579	 3.815
 7.568	 3.838
 7.557	 3.849
 7.546	 3.856
 7.535	 3.868
 7.524	 3.876
 7.513	 3.882
 7.502	 3.899
 7.492	 3.923
 7.481	 3.926
 7.470	 3.933
 7.459	 3.949
 7.448	 3.956
 7.438	 3.961
 7.427	 3.975
 7.417	 3.987
 7.406	 3.987
 7.395	 3.997
 7.385	 4.015
 7.374	 4.030
 7.364	 4.053
 7.353	 4.073
 7.343	 4.090
 7.333	 4.112
 7.322	 4.143
 7.312	 4.174
 7.302	 4.194
 7.291	 4.221
 7.281	 4.254
 7.271	 4.276
 7.261	 4.299
 7.251	 4.332
 7.240	 4.363
 7.230	 4.388
 7.220	 4.411
 7.210	 4.425
 7.200	 4.440
 7.190	 4.466
 7.180	 4.508
 7.170	 4.548
 7.160	 4.590
 7.151	 4.650
 7.141	 4.706
 7.131	 4.743
 7.121	 4.795
 7.111	 4.849
 7.102	 4.910
 7.092	 4.978
 7.082	 5.045
 7.073	 5.105
 7.063	 5.175
 7.053	 5.259
 7.044	 5.333
 7.034	 5.418
 7.025	 5.521
 7.015	 5.623
 7.006	 5.720
 6.996	 5.845
 6.987	 6.007
 6.977	 6.181
 6.968	 6.369
 6.959	 6.595
 6.949	 6.864
 6.940	 7.187
 6.931	 7.598
 6.921	 8.054
 6.912	 8.500
 6.903	 8.923
 6.894	 9.319
 6.885	 9.675
 6.876	10.004
 6.866	10.314
 6.857	10.643
 6.848	10.984
 6.839	11.359
 6.830	11.786
 6.821	12.234
 6.812	12.638
 6.803	12.954
 6.794	13.195
 6.786	13.452
 6.777	13.724
 6.768	13.974
 6.759	14.223
 6.750	14.480
 6.741	14.735
 6.733	14.985
 6.724	15.255
 6.715	15.527
 6.707	15.775
 6.698	16.011
 6.689	16.198
 6.681	16.346
 6.672	16.501
 6.663	16.655
 6.655	16.762
 6.646	16.815
 6.638	16.866
 6.629	16.971
 6.621	17.059
 6.612	17.124
 6.604	17.176
 6.596	17.196
 6.587	17.215
 6.579	17.235
 6.571	17.243
 6.562	17.269
 6.554	17.284
 6.546	17.292
 6.537	17.282
 6.529	17.275
 6.521	17.247
 6.513	17.211
 6.505	17.150
 6.496	17.068
 6.488	16.997
 6.480	16.920
 6.472	16.831
 6.464	16.722
 6.456	16.555
 6.448	16.361
 6.440	16.130
 6.432	15.828
 6.424	15.460
 6.416	14.986
 6.408	14.453
 6.400	13.898
 6.392	13.323
 6.384	12.753
 6.377	12.211
 6.369	11.759
 6.361	11.388
 6.353	11.024
 6.345	10.673
 6.338	10.361
 6.330	10.043
 6.322	 9.704
 6.314	 9.353
 6.307	 8.975
 6.299	 8.568
 6.291	 8.149
 6.284	 7.734
 6.276	 7.314
 6.269	 6.901
 6.261	 6.495
 6.254	 6.099
 6.246	 5.726
 6.238	 5.377
 6.231	 5.027
 6.223	 4.686
 6.216	 4.370
 6.209	 4.083
 6.201	 3.820
 6.194	 3.571
 6.186	 3.315
 6.179	 3.075
 6.172	 2.851
 6.164	 2.628
 6.157	 2.409
 6.150	 2.188
 6.142	 1.989
 6.135	 1.809
 6.128	 1.640
 6.121	 1.488
 6.113	 1.345
 6.106	 1.218
 6.099	 1.111
 6.092	 1.011
 6.085	 0.928
 6.078	 0.868
 6.070	 0.818
 6.063	 0.781
 6.056	 0.749
 6.049	 0.730
 6.042	 0.720
 6.035	 0.723
 6.028	 0.724
 6.021	 0.726
 6.014	 0.730
 6.007	 0.749
 6.000	 0.767
 5.993	 0.773
 5.986	 0.785
 5.979	 0.809
 5.973	 0.832
 5.966	 0.856
 5.959	 0.887
 5.952	 0.912
 5.945	 0.934
 5.938	 0.957
 5.932	 0.981
 5.925	 1.003
 5.918	 1.022
 5.911	 1.046
 5.905	 1.073
 5.898	 1.102
 5.891	 1.127
 5.884	 1.141
 5.878	 1.170
 5.871	 1.197
 5.864	 1.222
 5.858	 1.252
 5.851	 1.274
 5.845	 1.295
 5.838	 1.313
 5.831	 1.337
 5.825	 1.359
 5.818	 1.389
 5.812	 1.424
 5.805	 1.469
 5.799	 1.521
 5.792	 1.565
 5.786	 1.606
 5.779	 1.644
 5.773	 1.685
 5.767	 1.726
 5.760	 1.768
 5.754	 1.807
 5.747	 1.849
 5.741	 1.897
 5.735	 1.947
 5.728	 1.974
 5.722	 1.969
 5.716	 2.007
 5.709	 2.080
 5.703	 2.118
 5.697	 2.164
 5.691	 2.223
 5.684	 2.281
 5.678	 2.322
 5.672	 2.334
 5.666	 2.334
 5.660	 2.306
 5.653	 2.249
 5.647	 2.142
 5.641	 1.951
 5.635	 1.701
 5.629	 1.480
 5.623	 1.358
 5.617	 1.308
 5.611	 1.282
 5.604	 1.267
 5.598	 1.254
 5.592	 1.218
 5.586	 1.200
 5.580	 1.277
 5.574	 1.422
 5.568	 1.571
 5.562	 1.707
 5.556	 1.913
 5.550	 2.336
 5.545	 2.917
 5.539	 3.451
 5.533	 3.869
 5.527	 4.223
 5.521	 4.536
 5.515	 4.807
 5.509	 5.053
 5.503	 5.278
 5.498	 5.487
 5.492	 5.688
 5.486	 5.879
 5.480	 6.043
 5.474	 6.198
 5.469	 6.349
 5.463	 6.489
 5.457	 6.625
 5.451	 6.768
 5.446	 6.902
 5.440	 7.025
 5.434	 7.147
 5.428	 7.264
 5.423	 7.374
 5.417	 7.498
 5.411	 7.616
 5.406	 7.712
 5.400	 7.820
 5.395	 7.938
 5.389	 8.035
 5.383	 8.119
 5.378	 8.219
 5.372	 8.328
 5.367	 8.419
 5.361	 8.508
 5.356	 8.596
 5.350	 8.669
 5.344	 8.760
 5.339	 8.854
 5.333	 8.929
 5.328	 8.994
 5.323	 9.065
 5.317	 9.134
 5.312	 9.193
 5.306	 9.252
 5.301	 9.319
 5.295	 9.367
 5.290	 9.419
 5.285	 9.476
 5.279	 9.511
 5.274	 9.554
 5.268	 9.607
 5.263	 9.648
 5.258	 9.683
 5.252	 9.728
 5.247	 9.774
 5.242	 9.822
 5.237	 9.870
 5.231	 9.926
 5.226	 9.982
 5.221	10.025
 5.215	10.070
 5.210	10.133
 5.205	10.182
 5.200	10.238
 5.195	10.305
 5.189	10.352
 5.184	10.391
 5.179	10.419
 5.174	10.432
 5.169	10.452
 5.163	10.488
 5.158	10.528
 5.153	10.566
 5.148	10.604
 5.143	10.639
 5.138	10.665
 5.133	10.690
 5.128	10.733
 5.123	10.770
 5.118	10.791
 5.113	10.831
 5.108	10.877
 5.103	10.914
 5.097	10.955
 5.092	11.001
 5.087	11.043
 5.083	11.075
 5.078	11.120
 5.073	11.160
 5.068	11.181
 5.063	11.214
 5.058	11.239
 5.053	11.250
 5.048	11.268
 5.043	11.299
 5.038	11.348
 5.033	11.411
 5.028	11.477
 5.023	11.534
 5.019	11.591
 5.014	11.647
 5.009	11.688
 5.004	11.718
 4.999	11.756
 4.994	11.787
 4.990	11.809
 4.985	11.840
 4.980	11.874
 4.975	11.895
 4.970	11.919
 4.966	11.960
 4.961	11.991
 4.956	12.007
 4.951	12.043
 4.947	12.085
 4.942	12.106
 4.937	12.119
 4.933	12.151
 4.928	12.186
 4.923	12.199
 4.919	12.219
 4.914	12.250
 4.909	12.264
 4.905	12.282
 4.900	12.311
 4.895	12.336
 4.891	12.349
 4.886	12.364
 4.882	12.379
 4.877	12.384
 4.872	12.398
 4.868	12.410
 4.863	12.401
 4.859	12.406
 4.854	12.425
 4.850	12.430
 4.845	12.438
 4.840	12.460
 4.836	12.467
 4.831	12.463
 4.827	12.481
 4.822	12.503
 4.818	12.495
 4.814	12.489
 4.809	12.503
 4.805	12.495
 4.800	12.463
 4.796	12.430
 4.791	12.378
 4.787	12.300
 4.782	12.209
 4.778	12.099
 4.774	11.968
 4.769	11.835
 4.765	11.670
 4.760	11.418
 4.756	11.092
 4.752	10.756
 4.747	10.450
 4.743	10.154
 4.739	 9.848
 4.734	 9.524
 4.730	 9.218
 4.726	 8.975
 4.721	 8.812
 4.717	 8.703
 4.713	 8.627
 4.709	 8.564
 4.704	 8.509
 4.700	 8.458
 4.696	 8.402
 4.692	 8.331
 4.687	 8.223
 4.683	 8.109
 4.679	 8.043
 4.675	 8.078
 4.670	 8.181
 4.666	 8.244
 4.662	 8.145
 4.658	 7.830
 4.654	 7.407
 4.649	 7.039
 4.645	 6.785
 4.641	 6.806
 4.637	 7.005
 4.633	 7.191
 4.629	 7.367
 4.625	 7.569
 4.620	 7.783
 4.616	 7.961
 4.612	 8.126
 4.608	 8.302
 4.604	 8.463
 4.600	 8.568
 4.596	 8.587
 4.592	 8.555
 4.588	 8.580
 4.584	 8.698
 4.580	 8.846
 4.576	 8.993
 4.572	 9.129
 4.568	 9.245
 4.564	 9.348
 4.560	 9.451
 4.555	 9.558
 4.551	 9.643
 4.548	 9.709
 4.544	 9.792
 4.540	 9.890
 4.536	10.011
 4.532	10.161
 4.528	10.293
 4.524	10.395
 4.520	10.488
 4.516	10.564
 4.512	10.622
 4.508	10.690
 4.504	10.764
 4.500	10.824
 4.496	10.857
 4.492	10.888
 4.488	10.917
 4.485	10.934
 4.481	10.940
 4.477	10.948
 4.473	10.947
 4.469	10.934
 4.465	10.925
 4.461	10.914
 4.458	10.896
 4.454	10.880
 4.450	10.866
 4.446	10.847
 4.442	10.845
 4.438	10.854
 4.435	10.866
 4.431	10.896
 4.427	10.939
 4.423	10.988
 4.420	11.046
 4.416	11.131
 4.412	11.211
 4.408	11.284
 4.405	11.356
 4.401	11.425
 4.397	11.474
 4.393	11.515
 4.390	11.558
 4.386	11.578
 4.382	11.585
 4.379	11.595
 4.375	11.591
 4.371	11.573
 4.367	11.537
 4.364	11.480
 4.360	11.387
 4.356	11.252
 4.353	11.054
 4.349	10.778
 4.345	10.464
 4.342	10.200
 4.338	10.028
 4.335	 9.940
